EMPID,PASSPORT,FIRSTNAME,LASTNAME,GENDER,BIRTHDAY,NATIONALITY,HIRED,DEPT,POSITION,STATUS,REGION
1,OQI75XIE4UX,Christopher,Kennedy,1,1978-02-05,South Korea,2005-02-20,Flight Planning,Steward,2,Europe
3,JUI65YBK7AF,Jada,Bender,0,1963-05-28,Pakistan,2001-02-11,Pilot,Pilot,1,Canada
5,AZE20CSG4MU,Lillian,Reese,0,1982-12-03,Ukraine,2002-05-19,Flight Planning,Steward,1,Canada
9,WOW94MLI6CM,Prescott,Dudley,0,1990-04-07,Sweden,2012-11-16,Pilot,Steward,2,Canada
10,YHF52IXT9VG,Lamar,Reeves,1,1988-09-13,Philippines,2003-09-26,Flight Attendance,Pilot,2,Canada
12,KGM77GAL2UW,Levi,Atkinson,0,1969-10-08,Sweden,2002-09-13,Aircraft Maintenance,Steward,4,Europe
14,TAP82QBU5PN,Lunea,Sweet,1,1992-10-27,Netherlands,2004-03-15,Pilot,Airhostess,3,Middle East
16,WRS57BWI1RG,Serina,Tran,1,1980-11-28,Sweden,2010-07-18,Flight Planning,Steward,2,Canada
21,SMN51EPH5FE,Aline,Riley,0,1989-06-04,India,2001-04-05,Flight Attendance,Pilot,3,APAC
22,SOM23XJR5NC,Igor,Ochoa,1,1972-10-11,Colombia,2005-11-02,Flight Planning,Airhostess,4,APAC
23,NFH65BYM0VB,Armand,Horn,0,1987-05-24,Netherlands,2007-06-19,Aircraft Maintenance,Airhostess,1,Ocenia
24,EQI56KFP6NU,Chaney,Ramsey,1,1972-06-13,South Africa,2002-12-19,Aircraft Maintenance,Steward,2,USA
26,CCE27MGJ8KI,Chloe,Blanchard,1,1998-12-29,Russian Federation,2001-05-20,Pilot,Steward,2,Middle East
29,CMK62UAD3VK,Rowan,Leonard,1,1974-07-15,Germany,2004-03-27,Aircraft Maintenance,Pilot,1,Ocenia
31,JBK92QBQ9CF,Kyra,Noel,1,1972-08-25,China,2005-11-27,Flight Attendance,Airhostess,3,Canada
32,KUO96QIG4VK,Stephen,Dickson,0,1962-05-02,Netherlands,2013-03-15,Aircraft Maintenance,Airhostess,4,APAC
33,EWD45RJW5YK,Carter,Velasquez,0,1967-11-23,Indonesia,2005-02-27,Flight Planning,Pilot,1,APAC
34,BFS82MEY3CX,Selma,Bush,0,1972-03-26,Italy,2008-10-10,Flight Attendance,Airhostess,1,USA
35,XPI62OGX6QX,Roary,Frank,1,1979-12-30,South Korea,2008-11-12,Flight Attendance,Airhostess,2,Middle East
37,GWY17TOL2UG,Matthew,Vasquez,1,1995-03-17,Ireland,2007-07-01,Flight Planning,Steward,4,Ocenia
39,DDI37UIV8QD,Trevor,Wyatt,0,1998-02-14,Turkey,2010-03-15,Pilot,Airhostess,2,USA
44,VTF75CUM7PC,Rhea,Keith,0,2000-06-28,Costa Rica,2010-10-30,Flight Attendance,Airhostess,4,Canada
45,MIF51GHC3PF,Walker,Jarvis,0,1988-06-26,Philippines,2004-04-22,Aircraft Maintenance,Pilot,3,Ocenia
46,ZGJ51FDM2LC,Reese,Christensen,0,1993-09-15,Turkey,2011-08-10,Aircraft Maintenance,Pilot,3,Ocenia
47,CQW50GAD3DS,Martin,Payne,1,1961-05-12,Austria,2015-10-07,Pilot,Pilot,4,Ocenia
48,MKI89CUF6PR,Fuller,Alvarez,0,1988-01-06,Austria,2016-12-30,Flight Attendance,Pilot,4,APAC
50,MRC33GHJ2KW,Calvin,Roach,1,1999-04-16,Mexico,2011-03-18,Flight Attendance,Steward,1,Europe
51,BPO49TXH0XX,Charles,Kim,0,1968-12-30,South Africa,2015-09-12,Flight Planning,Pilot,2,Ocenia
53,EKI78MBL1DM,Irene,Moon,0,1973-10-02,United Kingdom,2015-04-21,Flight Attendance,Airhostess,2,USA
54,ZCM30CQE2UN,Noelani,Watkins,0,1969-08-31,United Kingdom,2016-07-18,Aircraft Maintenance,Airhostess,4,Europe
55,JJG71FLY1XR,Paula,Delaney,0,1986-09-18,Brazil,2003-01-29,Aircraft Maintenance,Steward,2,Middle East
57,GRE66NCT2EF,Aimee,Stone,0,1990-09-08,Spain,2007-07-25,Flight Attendance,Pilot,3,Middle East
58,TZT98UWC8BW,Donna,Clay,1,1977-12-25,Peru,2003-05-16,Aircraft Maintenance,Steward,4,APAC
63,UVV50TVB3TS,Maggy,Miles,0,1972-01-16,Mexico,2015-08-02,Flight Planning,Pilot,3,Ocenia
66,WKV12UQC6QF,Zachery,Valentine,0,1971-06-04,Philippines,2011-08-25,Flight Attendance,Steward,1,Middle East
68,GDJ74WSM7LG,Autumn,Page,0,1969-11-01,Brazil,2001-04-24,Aircraft Maintenance,Airhostess,3,Middle East
69,OOR56TFJ3XV,Nehru,Vargas,1,1976-09-25,Germany,2007-08-27,Flight Attendance,Pilot,2,USA
70,RAX87DEX6CC,Ferris,Houston,0,1981-05-01,Singapore,2016-02-23,Pilot,Pilot,3,Canada
71,FSQ47TYA9DJ,Pascale,Silva,0,1968-10-13,Netherlands,2007-09-27,Pilot,Steward,4,Canada
72,AUY27DLM5FK,Leilani,Moran,0,1996-08-25,Belgium,2005-04-08,Aircraft Maintenance,Airhostess,2,Ocenia
73,XIJ68PKR7QT,Darius,Serrano,0,1990-04-29,United States,2005-11-03,Pilot,Steward,4,Middle East
74,HJL93JJY5GH,September,Morin,1,1997-09-15,Mexico,2014-08-26,Aircraft Maintenance,Steward,4,APAC
75,KVI04NMS2QH,Shay,Mcdonald,1,1999-12-29,South Africa,2007-03-07,Aircraft Maintenance,Airhostess,4,Ocenia
76,YWT45VVP7KK,Nathan,Floyd,0,1988-01-04,Australia,2008-10-09,Flight Planning,Steward,3,USA
77,EOP89YXA3YW,Wayne,Bowman,0,1991-03-02,Vietnam,2007-03-28,Aircraft Maintenance,Steward,2,APAC
78,YHV05IUP6ER,Willa,Ferguson,0,1969-12-10,Italy,2017-07-08,Flight Planning,Steward,3,Ocenia
80,EUC74ENE9ZK,Ryan,Rush,0,1998-06-13,Italy,2019-07-31,Aircraft Maintenance,Pilot,1,Middle East
84,KMS88HTI5IR,Chanda,Wynn,1,1993-07-10,Indonesia,2014-11-20,Flight Planning,Steward,2,USA
85,MUE55VMY6MX,Solomon,Booker,0,1961-03-28,Nigeria,2007-09-18,Aircraft Maintenance,Steward,3,APAC
86,WND47SBT6OF,Yardley,Buckley,1,1989-06-24,Singapore,2002-06-04,Flight Attendance,Pilot,3,USA
87,RVO63HMC4NL,Ferris,Gilbert,0,1969-07-24,Peru,2002-12-25,Flight Planning,Steward,4,Europe
88,TRJ51LBJ6II,Shaeleigh,Roth,1,1986-02-04,India,2004-03-15,Aircraft Maintenance,Steward,4,Europe
89,PHE40UOS0GY,Amanda,Schwartz,1,1983-04-03,Vietnam,2019-08-06,Aircraft Maintenance,Steward,4,APAC
91,WEA16MFX7OE,Drew,Gordon,0,1981-10-31,Sweden,2015-04-19,Aircraft Maintenance,Steward,2,Ocenia
92,HET44XPQ0RR,Lucy,Finch,1,1975-02-21,Indonesia,2002-05-19,Pilot,Steward,4,Middle East
93,UXL43IOW6OV,Honorato,Maxwell,1,1982-03-09,France,2017-02-04,Aircraft Maintenance,Airhostess,1,Europe
95,OUP31WOE2IE,Dara,Wilcox,1,1996-06-29,Singapore,2011-05-18,Flight Attendance,Airhostess,1,Canada
97,SUF73DKV4QE,Dante,Hart,0,1999-12-21,Peru,2016-02-22,Pilot,Pilot,1,Europe
98,DOB31QXV4GZ,Moana,Walsh,1,1995-05-03,Brazil,2002-04-21,Pilot,Airhostess,3,Ocenia
